,name,genre,type,rating,members
63,Gintama: Yorinuki Gintama-san on Theater 2D,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,8.6,11104
64,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,"Action, Adventure, Drama, Shounen, Supernatural",TV,8.6,93657
65,Gintama Movie: Shinyaku Benizakura-hen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,8.59,51185
66,Hellsing Ultimate,"Action, Horror, Military, Seinen, Supernatural, Vampire",OVA,8.59,297454
67,Kiseijuu: Sei no Kakuritsu,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen",TV,8.59,425457
68,Shouwa Genroku Rakugo Shinjuu,"Drama, Historical, Josei",TV,8.59,71295
69,Uchuu Kyoudai,"Comedy, Sci-Fi, Seinen, Slice of Life, Space",TV,8.59,72958
70,Bakemono no Ko,"Adventure, Supernatural",Movie,8.58,80825
71,Hotaru no Haka,"Drama, Historical",Movie,8.58,174878
72,Kuroko no Basket 2nd Season,"Comedy, School, Shounen, Sports",TV,8.58,243325
73,Major S5,"Comedy, Drama, Romance, Sports",TV,8.58,28653
74,One Piece,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",TV,8.58,504862
75,Ghost in the Shell: Stand Alone Complex 2nd GIG,"Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen",TV,8.57,113993
76,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,"Action, Adventure, Comedy, Drama, Shounen, Supernatural",TV,8.57,74074
77,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),"Action, Mystery, Romance, Supernatural, Thriller",Movie,8.57,95658
78,Kingdom 2nd Season,"Action, Historical, Military, Seinen",TV,8.57,31234
79,Slam Dunk,"Comedy, Drama, School, Shounen, Sports",TV,8.56,82570
80,Usagi Drop,"Josei, Slice of Life",TV,8.56,194855
81,Girls und Panzer der Film,"Military, School",Movie,8.55,25641
82,Mob Psycho 100,"Action, Comedy, Slice of Life, Supernatural",TV,8.55,193716
83,Nana,"Comedy, Drama, Music, Romance, Shoujo, Slice of Life",TV,8.55,197256
84,Baccano!,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",TV,8.54,363215
85,Mushishi Zoku Shou: Odoro no Michi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,8.54,34011
86,Shingeki no Kyojin,"Action, Drama, Fantasy, Shounen, Super Power",TV,8.54,896229
87,Bakuman. 2nd Season,"Comedy, Drama, Romance, Shounen",TV,8.53,151561
88,Cross Game,"Comedy, Drama, Romance, School, Sports",TV,8.53,53108
89,Doukyuusei (Movie),"Romance, School, Shounen Ai, Slice of Life",Movie,8.53,28864
90,Evangelion: 2.0 You Can (Not) Advance,"Action, Mecha, Sci-Fi",Movie,8.53,182224
91,Shinsekai yori,"Drama, Horror, Mystery, Sci-Fi, Supernatural",TV,8.53,288376
92,Uchuu Senkan Yamato 2199,"Action, Drama, Military, Sci-Fi, Space",OVA,8.53,44223
93,Chihayafuru 2,"Drama, Game, Josei, Slice of Life, Sports",TV,8.52,86074
94,Fate/Zero,"Action, Fantasy, Supernatural",TV,8.51,453630
95,JoJo no Kimyou na Bouken (TV),"Action, Adventure, Shounen, Supernatural, Vampire",TV,8.51,190197
96,Mahou Shoujo Madoka★Magica,"Drama, Magic, Psychological, Thriller",TV,8.51,462974
97,Nichijou,"Comedy, School, Slice of Life",TV,8.52,254436
98,Psycho-Pass,"Action, Police, Psychological, Sci-Fi",TV,8.5,509109
99,Barakamon,"Comedy, Slice of Life",TV,8.5,225927
100,Diamond no Ace: Second Season,"Comedy, School, Shounen, Sports",TV,8.5,38531
101,Magi: The Kingdom of Magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,8.5,245026
102,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,8.5,135735
103,Major: World Series,"Comedy, Drama, Sports",OVA,8.5,13405
104,Samurai Champloo,"Action, Adventure, Comedy, Historical, Samurai, Shounen",TV,8.5,390076
105,Shokugeki no Souma: Ni no Sara,"Ecchi, School, Shounen",TV,8.5,185015
106,Katanagatari,"Action, Adventure, Historical, Martial Arts, Romance",TV,8.49,207241
107,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,8.49,85361
108,Major S6,"Comedy, Drama, Sports",TV,8.49,24788
109,Mononoke,"Demons, Fantasy, Historical, Horror, Mystery, Seinen, Supernatural",TV,8.49,88850
110,Shirobako,"Comedy, Drama",TV,8.49,146895
111,Ashita no Joe 2,"Drama, Sports",TV,8.48,6259
112,Hunter x Hunter,"Action, Adventure, Shounen, Super Power",TV,8.48,166255
113,Noragami Aragoto,"Action, Adventure, Shounen, Supernatural",TV,8.48,299434
114,Sakamichi no Apollon,"Drama, Josei, Music, Romance, School",TV,8.48,146592
115,Tonari no Totoro,"Adventure, Comedy, Supernatural",Movie,8.48,271484
116,Ghost in the Shell: Stand Alone Complex,"Action, Mecha, Military, Police, Sci-Fi, Seinen",TV,8.47,194491
117,Kaze no Tani no Nausicaä,"Adventure, Fantasy",Movie,8.47,143273
118,No Game No Life,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",TV,8.47,602291
119,Romeo no Aoi Sora,"Adventure, Drama, Historical, Slice of Life",TV,8.47,15074
120,Yuu☆Yuu☆Hakusho,"Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen",TV,8.47,195017
121,Kino no Tabi: The Beautiful World,"Action, Adventure, Slice of Life",TV,8.46,102822
122,Kuroko no Basket,"Comedy, School, Shounen, Sports",TV,8.46,338315
123,Nodame Cantabile,"Comedy, Drama, Josei, Music, Romance, Slice of Life",TV,8.46,157025
124,Ookami to Koushinryou II,"Adventure, Fantasy, Historical, Romance",TV,8.46,210491
125,Shingeki no Kyojin: Kuinaki Sentaku,"Action, Fantasy, Shoujo, Supernatural",OVA,8.45,92543
126,Steins;Gate: Oukoubakko no Poriomania,"Sci-Fi, Thriller",Special,8.46,159548
127,Fate/stay night: Unlimited Blade Works 2nd Season,"Action, Fantasy, Magic, Shounen, Supernatural",TV,8.45,205987
128,Kemono no Souja Erin,"Drama, Fantasy",TV,8.45,36751
129,Kizumonogatari I: Tekketsu-hen,"Mystery, Supernatural, Vampire",Movie,8.45,99579
130,Neon Genesis Evangelion: The End of Evangelion,"Dementia, Drama, Mecha, Psychological, Sci-Fi",Movie,8.45,215630
131,Toradora!,"Comedy, Romance, School, Slice of Life",TV,8.45,633817
132,Toki wo Kakeru Shoujo,"Adventure, Drama, Romance, Sci-Fi",Movie,8.44,289206
133,Tsubasa: Tokyo Revelations,"Action, Adventure, Drama, Fantasy, Romance, Shounen",OVA,8.44,57963
134,Owarimonogatari,"Comedy, Mystery, Supernatural",TV,8.43,107855
135,Rurouni Kenshin: Meiji Kenkaku Romantan,"Action, Adventure, Comedy, Historical, Romance, Samurai",TV,8.43,218928
136,Stranger: Mukou Hadan,"Action, Adventure, Historical, Samurai",Movie,8.43,125503
137,Detective Conan Movie 06: The Phantom of Baker Street,"Adventure, Mystery, Police, Shounen",Movie,8.42,28462
138,Fate/stay night: Unlimited Blade Works,"Action, Fantasy, Magic, Shounen, Supernatural",TV,8.42,267484
139,Major S1,"Comedy, Drama, Shounen, Sports",TV,8.42,41061
140,Mobile Suit Gundam: The Origin,"Action, Mecha, Military, Sci-Fi, Shounen, Space",OVA,8.42,15420
141,Nanatsu no Taizai,"Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural",TV,8.42,331627
142,Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,8.42,210736
143,One Piece Film: Strong World,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,8.42,85020
144,Higurashi no Naku Koro ni Kai,"Mystery, Psychological, Supernatural, Thriller",TV,8.41,218101
145,Hunter x Hunter OVA,"Action, Adventure, Shounen, Super Power",OVA,8.41,53168
146,Hunter x Hunter: Greed Island Final,"Action, Adventure, Shounen, Super Power",OVA,8.41,55787
147,Kuroshitsuji: Book of Murder,"Comedy, Demons, Fantasy, Historical, Mystery, Shounen, Supernatural",OVA,8.41,67261
148,Major S2,"Comedy, Drama, Shounen, Sports",TV,8.41,30689
149,One Outs,"Psychological, Seinen, Sports",TV,8.41,83056
150,Beck,"Comedy, Drama, Music, Shounen, Slice of Life",TV,8.4,148328
151,Berserk,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,8.4,226430
152,Cowboy Bebop: Tengoku no Tobira,"Action, Drama, Mystery, Sci-Fi, Space",Movie,8.4,137636
153,Major S3,"Drama, Shounen, Sports",TV,8.4,29528
154,Mobile Suit Gundam Unicorn,"Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,8.4,42076
155,Natsume Yuujinchou: Itsuka Yuki no Hi ni,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",OVA,8.4,28302
156,NHK ni Youkoso!,"Comedy, Drama, Psychological, Romance",TV,8.4,291228
157,Rose of Versailles,"Adventure, Drama, Historical, Romance, Shoujo",TV,8.4,32188
158,Sakurasou no Pet na Kanojo,"Comedy, Drama, Romance, School, Slice of Life",TV,8.4,380375
159,Angel Beats!,"Action, Comedy, Drama, School, Supernatural",TV,8.39,717796
160,Bakemonogatari,"Mystery, Romance, Supernatural, Vampire",TV,8.39,482268
161,Bungou Stray Dogs 2nd Season,"Mystery, Seinen, Supernatural",TV,8.39,83641
162,Hajime no Ippo: Champion Road,"Comedy, Shounen, Sports",Special,8.39,47840
163,One Piece Film: Z,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,8.39,76051
164,Ouran Koukou Host Club,"Comedy, Harem, Romance, School, Shoujo",TV,8.39,422271
165,Detective Conan Movie 13: The Raven Chaser,"Action, Mystery, Police, Shounen",Movie,8.38,21798
166,Durarara!!,"Action, Mystery, Supernatural",TV,8.38,556431
167,Nodame Cantabile Finale,"Comedy, Josei, Music, Romance",TV,8.38,67697
168,Planetes,"Drama, Romance, Sci-Fi, Seinen, Space",TV,8.38,105044
169,Shelter,"Music, Sci-Fi",Music,8.38,71136
170,Tenkuu no Shiro Laputa,"Adventure, Fantasy, Romance, Sci-Fi",Movie,8.38,151061
171,Gintama: Shiroyasha Koutan,"Action, Comedy, Historical, Parody, Sci-Fi",Special,8.37,27213
172,Hachimitsu to Clover II,"Drama, Josei, Romance",TV,8.37,61493
173,InuYasha: Kanketsu-hen,"Action, Adventure, Comedy, Demons, Fantasy, Magic, Romance, Shounen, Supernatural",TV,8.37,99128
174,Kaguya-hime no Monogatari,"Fantasy, Historical",Movie,8.37,45547
175,Katekyo Hitman Reborn!,"Action, Comedy, Shounen, Super Power",TV,8.37,258103
176,Kuroshitsuji: Book of Circus,"Comedy, Demons, Fantasy, Historical, Shounen, Supernatural",TV,8.37,122895
177,Ookami to Koushinryou,"Adventure, Fantasy, Historical, Romance",TV,8.37,334932
178,Boku no Hero Academia,"Action, Comedy, School, Shounen, Super Power",TV,8.36,282002
179,Gin no Saji 2nd Season,"Comedy, School, Shounen, Slice of Life",TV,8.36,67032
180,Little Busters!: Refrain,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,8.36,71820
181,Major: Message,"Comedy, Drama, Sports",OVA,8.36,12282
182,Saint Seiya: The Lost Canvas - Meiou Shinwa 2,"Action, Adventure, Martial Arts, Shounen, Super Power, Supernatural",OVA,8.36,27532
183,SKET Dance,"Comedy, School, Shounen",TV,8.36,101027
184,Bakuman.,"Comedy, Romance, Shounen",TV,8.35,246899
185,Danshi Koukousei no Nichijou,"Comedy, School, Shounen, Slice of Life",TV,8.35,258914
186,Kotonoha no Niwa,"Drama, Psychological, Romance, Slice of Life",Movie,8.35,189741
187,Kyoukai no Kanata Movie: I&#039;ll Be Here - Mirai-hen,"Fantasy, Slice of Life, Supernatural",Movie,8.35,59815
188,Major S4,"Comedy, Drama, Shounen, Sports",TV,8.35,28002
189,Omoide no Marnie,"Drama, Mystery, Psychological",Movie,8.35,53590
190,Working!!!: Lord of the Takanashi,"Comedy, Romance, Slice of Life",Special,8.34,31856
191,Ghost in the Shell,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,8.34,223036
192,K-On! Movie,"Comedy, Music, Slice of Life",Movie,8.34,115252
193,Kuroko no Basket: Saikou no Present Desu,"Action, School, Shounen, Sports",Special,8.34,22900
194,Mahou Shoujo Lyrical Nanoha: The Movie 2nd A&#039;s,"Action, Comedy, Drama, Magic, Super Power",Movie,8.34,13315
195,Sennen Joyuu,"Action, Adventure, Drama, Fantasy, Historical, Romance",Movie,8.34,58492
196,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,"Sci-Fi, Thriller",Special,8.34,38147
197,xxxHOLiC Kei,"Comedy, Drama, Mystery, Psychological, Supernatural",TV,8.34,74941
198,Berserk: Ougon Jidai-hen III - Kourin,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Seinen, Supernatural",Movie,8.33,65594
199,Death Parade,"Drama, Game, Mystery, Psychological, Thriller",TV,8.33,383914
200,Fullmetal Alchemist,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",TV,8.33,600384
201,Gyakkyou Burai Kaiji: Ultimate Survivor,"Game, Psychological, Seinen, Thriller",TV,8.33,98996
202,Hunter x Hunter: Greed Island,"Action, Adventure, Shounen, Super Power",OVA,8.33,57029
203,Redline,"Action, Cars, Sci-Fi, Sports",Movie,8.33,109392
204,Chihayafuru,"Drama, Game, Josei, Slice of Life, Sports",TV,8.32,158561
205,Detective Conan Movie 20: The Darkest Nightmare,"Action, Mystery, Police, Shounen",Movie,8.32,6229
206,Dragon Ball Z,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",TV,8.32,375662
207,Fate/stay night: Unlimited Blade Works - Prologue,"Action, Fantasy, Magic, Shounen, Supernatural",Special,8.32,106382
208,Kokoro ga Sakebitagatterunda.,"Drama, Romance, School",Movie,8.32,59652
209,Mimi wo Sumaseba,"Adventure, Drama, Fantasy, Romance, Slice of Life",Movie,8.32,94435
210,Nagi no Asukara,"Drama, Fantasy, Romance",TV,8.32,224947
211,Neon Genesis Evangelion,"Action, Dementia, Drama, Mecha, Psychological, Sci-Fi",TV,8.32,461946
212,One Piece Film: Gold,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,8.32,18642
213,Tokyo Godfathers,"Comedy, Drama",Movie,8.32,89424
214,Trigun,"Action, Comedy, Sci-Fi",TV,8.32,283069
215,xxxHOLiC Rou,"Mystery, Supernatural",OVA,8.32,36353
216,Gintama: Shinyaku Benizakura-hen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Special,8.31,14002
217,Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,8.31,88164
218,Sekaiichi Hatsukoi 2,"Comedy, Drama, Romance, Shounen Ai",TV,8.31,69253
219,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,"Comedy, Drama, Romance, School",TV,8.31,222994
220,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,"Comedy, Romance, School",OVA,8.31,35120
221,Aria The Natural,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,8.3,39596
222,Black Lagoon: The Second Barrage,"Action, Seinen",TV,8.3,203233
223,Clannad,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,8.3,566690
224,Kami nomi zo Shiru Sekai: Megami-hen,"Comedy, Harem, Romance, Shounen, Supernatural",TV,8.3,142612
225,Summer Wars,"Comedy, Sci-Fi",Movie,8.3,223359
226,Baccano! Specials,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",Special,8.29,100412
227,Detective Conan Movie 14: The Lost Ship in the Sky,"Action, Mystery, Police, Shounen",Movie,8.29,20602
228,Gyakkyou Burai Kaiji: Hakairoku-hen,"Game, Psychological, Seinen, Thriller",TV,8.29,55566
229,Initial D Final Stage,"Cars, Seinen, Sports",TV,8.29,19702
230,Kaiba,"Adventure, Mystery, Romance, Sci-Fi",TV,8.29,56927
231,One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",Special,8.29,17247
232,Saiki Kusuo no Ψ-nan (TV),"Comedy, School, Shounen, Supernatural",TV,8.29,47092
233,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo",Movie,8.28,60637
234,Hajime no Ippo: Mashiba vs. Kimura,"Comedy, Shounen, Sports",OVA,8.28,40623
235,Kamisama Hajimemashita◎,"Comedy, Demons, Fantasy, Romance, Shoujo, Supernatural",TV,8.28,91796
236,Skip Beat!,"Comedy, Drama, Romance, Shoujo",TV,8.28,134818
237,Yowamushi Pedal: Grande Road,"Comedy, Drama, Shounen, Sports",TV,8.28,50778
238,Gankutsuou,"Drama, Mystery, Sci-Fi, Supernatural, Thriller",TV,8.27,103828
239,Majo no Takkyuubin,"Adventure, Comedy, Drama, Fantasy, Magic, Romance",Movie,8.27,152331
240,Nodame Cantabile: Paris-hen,"Comedy, Josei, Music, Romance, Slice of Life",TV,8.27,70822
241,One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",Special,8.27,24707
242,Osomatsu-san,"Comedy, Parody",TV,8.27,60988
243,Space☆Dandy 2nd Season,"Comedy, Sci-Fi, Space",TV,8.27,60918
244,Tsumiki no Ie,Drama,Movie,8.27,45189
245,Detroit Metal City,"Comedy, Music",OVA,8.26,104893
246,Eve no Jikan,"Sci-Fi, Slice of Life",ONA,8.26,99074
247,Eve no Jikan (Movie),"Sci-Fi, Slice of Life",Movie,8.26,66376
248,Kaichou wa Maid-sama!,"Comedy, Romance, School, Shoujo",TV,8.26,391628
249,Saint Seiya: Meiou Hades Juuni Kyuu-hen,"Adventure, Sci-Fi, Shounen",OVA,8.26,23701
250,Zankyou no Terror,"Psychological, Thriller",TV,8.26,342893
251,Darker than Black: Kuro no Keiyakusha,"Action, Mystery, Sci-Fi, Super Power",TV,8.25,440334
252,Detective Conan,"Adventure, Comedy, Mystery, Police, Shounen",TV,8.25,114702
253,Detective Conan Movie 05: Countdown to Heaven,"Adventure, Comedy, Mystery, Police, Shounen",Movie,8.25,25432
254,Diamond no Ace,"Comedy, School, Shounen, Sports",TV,8.25,81384
255,Fairy Tail (2014),"Action, Adventure, Comedy, Fantasy, Magic, Shounen",TV,8.25,255076
256,Hibike! Euphonium 2,"Drama, Music, School",TV,8.25,47716
257,JoJo no Kimyou na Bouken: Stardust Crusaders,"Action, Adventure, Drama, Shounen, Supernatural",TV,8.25,120089
258,Maison Ikkoku,"Comedy, Drama, Romance, Slice of Life",TV,8.25,22079
259,Non Non Biyori Repeat,"Comedy, School, Seinen, Slice of Life",TV,8.26,64230
260,Shijou Saikyou no Deshi Kenichi,"Action, Comedy, Martial Arts, School, Shounen",TV,8.25,129112
261,Yuusha-Ou GaoGaiGar Final,"Adventure, Drama, Mecha, Sci-Fi, Shounen",OVA,8.25,5001
262,Gekkan Shoujo Nozaki-kun,"Comedy, Romance, School",TV,8.24,292622
263,Initial D Fourth Stage,"Action, Cars, Drama, Seinen, Sports",TV,8.24,41584
264,Junjou Romantica 2,"Comedy, Drama, Romance, Shounen Ai",TV,8.24,87617
265,Kaze Tachinu,"Drama, Historical, Romance",Movie,8.24,75359
266,Kingdom,"Action, Historical, Military, Seinen",TV,8.24,54211
267,Kuragehime,"Comedy, Josei, Slice of Life",TV,8.24,108053
268,Magi: The Labyrinth of Magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,8.24,317513
269,Mobile Suit Gundam 00,"Action, Drama, Mecha, Military, Sci-Fi, Space",TV,8.24,120351
270,ReLIFE,"Romance, School, Slice of Life",TV,8.24,202249
271,Saint Seiya: The Lost Canvas - Meiou Shinwa,"Action, Adventure, Martial Arts, Shounen, Super Power, Supernatural",OVA,8.24,40355
272,Seirei no Moribito,"Action, Adventure, Fantasy, Historical",TV,8.24,106888
273,Akatsuki no Yona,"Action, Adventure, Comedy, Fantasy, Romance, Shoujo",TV,8.23,216674
274,Detective Conan Movie 08: Magician of the Silver Sky,"Adventure, Comedy, Mystery, Police, Shounen",Movie,8.23,23130
275,Durarara!!x2 Ketsu,"Action, Mystery, Supernatural",TV,8.23,115295
276,Free!: Eternal Summer Special,"Comedy, School, Slice of Life",Special,8.23,36091
277,Glass no Kamen (2005),"Drama, Shoujo",TV,8.23,17038
278,Gosick,"Drama, Historical, Mystery, Romance",TV,8.23,232113
279,Hajime no Ippo: Boxer no Kobushi,"Comedy, Drama, Shounen, Sports",Special,8.23,20157
280,Initial D First Stage,"Action, Cars, Drama, Seinen, Sports",TV,8.23,68128
281,Kill la Kill,"Action, Comedy, School, Super Power",TV,8.23,508118
282,Lovely★Complex,"Comedy, Romance, Shoujo",TV,8.23,235003
283,Perfect Blue,"Dementia, Drama, Horror, Psychological",Movie,8.23,117565
